research_date,stock_code,market_score,recommendation,candidate_rank,buy_price,sell_price
2019-01-03,AAA,74.99,BUY,1,10390,11620
2019-01-03,HBC,73.71,BUY,2,13420,14940
2019-01-03,KBC,71.75,BUY,3,9060,10000
2019-01-03,PTB,71.03,BUY,4,21130,23270
2019-01-03,FCN,70.26,BUY,5,11350,12460
2019-01-03,PPC,68.28,BUY,6,8820,9610
2019-01-03,HPG,67.64,BUY,7,7230,7860
2019-01-03,STB,66.54,BUY,8,11510,12440
2019-01-03,CII,65.05,BUY,9,18910,20320
2019-01-03,EIB,64.14,BUY,10,9030,9670
2019-01-03,OGC,63.68,BUY,11,3580,3830
2019-01-03,VCB,63.61,BUY,12,22610,24150
2019-01-03,BID,63.55,BUY,13,16770,17920
2019-01-03,DRH,63.43,BUY,14,7640,8160
2019-01-03,SRC,63.07,BUY,15,8380,8940
2019-01-03,FPT,62.91,BUY,16,11590,12340
2019-01-03,GAS,62.81,BUY,17,51230,54550
2019-01-03,NDN,62.55,BUY,18,5760,6130
2019-01-03,DPM,62.46,BUY,19,6590,7000
2019-01-03,TVC,62.42,BUY,20,8490,9030
2019-01-03,KDH,61.95,BUY,21,13580,14410
2019-01-03,KSB,61.82,BUY,22,16020,16990
2019-01-03,DST,61.37,BUY,23,1980,2100
2019-01-03,SHS,60.35,BUY,24,2540,2680
2019-01-03,NTC,60.21,BUY,25,36870,38840
2019-01-03,VSC,60.21,BUY,26,7030,7410
2019-01-03,ACB,60.21,BUY,27,5550,5840
2019-01-03,NVB,59.33,BUY,28,6900,7250
2019-01-03,VTP,59.21,BUY,29,25030,26250
2019-01-03,VND,58.84,BUY,30,3000,3140
2019-01-03,PLX,50.19,HOLD,31,40100,40450
2019-01-03,GMC,49.78,HOLD,32,18290,18420
2019-01-03,BMP,49.14,HOLD,33,24320,24430
2019-01-03,GEX,49.08,HOLD,34,8580,8610
2019-01-03,FCM,49.06,HOLD,35,4380,4400
2019-01-03,APC,49.01,HOLD,36,30550,30670
2019-01-03,CTD,48.93,HOLD,37,96610,96930
2019-01-03,DGW,48.8,HOLD,38,4230,4240
2019-01-03,TCH,48.69,HOLD,39,7540,7560
2019-01-03,MPC,48.54,HOLD,40,12650,12670
2019-01-03,KPF,48.37,HOLD,41,19940,19960
2019-01-03,ASM,48.24,HOLD,42,3880,3890
2019-01-03,SHI,48.13,HOLD,43,3460,3470
2019-01-03,REE,48.11,HOLD,44,12730,12740
2019-01-03,DVN,47.72,HOLD,45,11820,11830
2019-01-03,HT1,35.34,SELL,46,9990,9420
2019-01-03,VNM,35.09,SELL,47,70370,66290
2019-01-03,KOS,33.81,SELL,48,17430,16320
2019-01-03,PVD,32.48,SELL,49,5670,5280
2019-01-03,HSL,32.19,SELL,50,9190,8530
2019-01-03,DPG,32.09,SELL,51,12770,11860
2019-01-03,FMC,31.34,SELL,52,17220,15930
2019-01-03,TV2,29.59,SELL,53,20510,18820
2019-01-03,ANV,29.43,SELL,54,10040,9200
2019-01-03,SJS,28.59,SELL,55,6460,5900
2019-01-03,NT2,28.4,SELL,56,15440,14080
2019-01-03,TDH,27.71,SELL,57,6610,6010
2019-01-03,NTL,26.19,SELL,58,5080,4580
2019-01-03,NAF,25.18,SELL,59,10410,9340
2019-01-03,SHN,23.98,SELL,60,9720,8680
2019-01-04,VCS,82.56,BUY,1,39570,45600
2019-01-04,HII,70.41,BUY,2,7480,8220
2019-01-04,TNA,69.44,BUY,3,6540,7150
2019-01-04,VCB,68.3,BUY,4,22610,24630
2019-01-04,VGC,67.42,BUY,5,11820,12830
