snapshot_date,customer_id,stock_code,quantity,avg_cost,market_value
2019-01-31,CUS000006,HNG,7200,15733.57,102960000
2019-01-31,CUS000009,VRE,52700,27561.28,1443453000
2019-01-31,CUS000009,BVH,2000,75042.4,154980000
2019-01-31,CUS000009,VCG,59300,11226.82,732355000
2019-01-31,CUS000009,CTG,97400,8853.26,865886000
2019-01-31,CUS000009,SCR,52200,6289.42,335646000
2019-01-31,CUS000009,NVL,27700,29494.17,813549000
2019-01-31,CUS000011,TCH,60300,7692.61,499284000
2019-01-31,CUS000012,KBC,600,9694.52,5946000
2019-01-31,CUS000012,CTI,300,18978.42,5622000
2019-01-31,CUS000012,VCG,400,12468.67,4940000
2019-01-31,CUS000017,ART,6700,2399.12,14740000
2019-01-31,CUS000017,TCB,300,12318.45,3678000
2019-01-31,CUS000017,VRE,400,27711.51,10956000
2019-01-31,CUS000017,FCN,900,10625.92,9729000
2019-01-31,CUS000017,MSN,100,64466.56,6295000
2019-01-31,CUS000017,NVL,300,29684.46,8811000
2019-01-31,CUS000022,GSM,1000,7345.0,7620000
2019-01-31,CUS000022,ITA,9600,3024.53,25920000
2019-01-31,CUS000022,NT2,900,17646.43,16560000
2019-01-31,CUS000022,HDG,4800,8482.7,41664000
2019-01-31,CUS000022,TCM,3800,11126.67,41344000
2019-01-31,CUS000028,NLG,300,15633.42,4704000
2019-01-31,CUS000028,HDC,1700,3425.13,5831000
2019-01-31,CUS000028,HDG,900,8723.07,7812000
2019-01-31,CUS000031,FPT,1300,11983.33,15925000
2019-01-31,CUS000031,NTC,100,40019.94,4141000
2019-01-31,CUS000031,HCD,2700,2804.2,8181000
2019-01-31,CUS000031,VTP,100,29624.37,3166000
2019-01-31,CUS000034,MPT,600,4536.8,2034000
2019-01-31,CUS000034,KBC,300,9614.4,2973000
2019-01-31,CUS000038,VGC,1000,12627.48,13410000
2019-01-31,CUS000038,VRE,600,27811.66,16434000
2019-01-31,CUS000038,VCG,600,11567.33,7410000
2019-01-31,CUS000038,VGI,600,14261.36,8796000
2019-01-31,CUS000038,DAG,400,6715.06,2644000
2019-01-31,CUS000041,HBC,1500,13360.01,19320000
2019-01-31,CUS000041,CTI,800,18868.26,14992000
2019-01-31,CUS000041,VCG,1000,12548.8,12350000
2019-01-31,CUS000044,PVS,1100,11607.39,12870000
2019-01-31,CUS000044,VGC,600,12388.56,8046000
2019-01-31,CUS000044,KBC,1200,9814.7,11892000
2019-01-31,CUS000044,MPC,300,14942.38,4458000
2019-01-31,CUS000045,TVB,800,9614.4,7008000
2019-01-31,CUS000045,BSR,1600,7563.83,11840000
2019-01-31,CUS000045,DIG,700,7501.23,5040000
2019-01-31,CUS000045,GMD,200,17125.65,3352000
2019-01-31,CUS000046,SRC,18300,11256.86,196176000
2019-01-31,CUS000051,MBG,2300,3455.18,7705000
2019-01-31,CUS000051,VHM,600,28292.38,16836000
2019-01-31,CUS000054,PVD,3800,6079.1,24966000
2019-01-31,CUS000054,ACB,1500,5708.55,8445000
2019-01-31,CUS000054,PPC,1100,10575.84,12210000
2019-01-31,CUS000054,CII,500,17135.67,8430000
2019-01-31,CUS000060,PVS,2500,11336.58,29250000
2019-01-31,CUS000060,PVD,5700,6327.9,37449000
2019-01-31,CUS000060,FIR,4000,8492.72,33800000
2019-01-31,CUS000060,SAM,2900,5865.68,17429000
2019-01-31,CUS000060,SRC,2000,11086.6,21440000
2019-01-31,CUS000061,VEF,100,58727.96,6125000
2019-01-31,CUS000061,DRH,1100,6874.22,7832000
2019-01-31,CUS000064,PNJ,1000,29474.15,30530000
2019-01-31,CUS000068,VCG,8000,12058.06,98800000
2019-01-31,CUS000070,HVN,3900,22113.12,92820000
2019-01-31,CUS000071,STB,900,11407.08,11070000
2019-01-31,CUS000074,HDG,6600,8562.83,57288000
2019-01-31,CUS000074,VTP,1200,29574.29,37992000
2019-01-31,CUS000074,PLX,13400,40140.12,536670000
2019-01-31,CUS000078,QCG,9600,4907.35,44160000
2019-01-31,CUS000078,PGS,2000,22103.1,42440000
2019-01-31,CUS000078,PVD,1500,6259.38,9855000
2019-01-31,CUS000078,TTH,5500,3685.52,20020000
2019-01-31,CUS000078,SRC,300,11046.55,3216000
2019-01-31,CUS000080,TTB,14000,19239.17,294420000
2019-01-31,CUS000080,SHS,30300,2651.89,79689000
2019-01-31,CUS000080,VCB,8600,23415.07,207690000
2019-01-31,CUS000080,VRE,2100,27651.42,57519000
2019-01-31,CUS000080,DRC,4100,10956.41,44649000
2019-01-31,CUS000080,DHG,800,54661.87,44184000
2019-01-31,CUS000080,FIR,1500,8462.67,12675000
2019-01-31,CUS000082,MSR,500,16144.18,8315000
2019-01-31,CUS000082,NT2,3200,17255.85,58880000
2019-01-31,CUS000082,VRE,1000,29233.78,27390000
2019-01-31,CUS000082,STB,1600,11266.88,19680000
2019-01-31,CUS000082,MPC,1800,14631.92,26748000
2019-01-31,CUS000082,NTC,600,41892.75,24846000
2019-01-31,CUS000082,TNA,300,7421.11,2169000
2019-01-31,CUS000082,CTG,4300,9310.92,38227000
2019-01-31,CUS000084,BSR,13000,6999.71,96200000
2019-01-31,CUS000087,SHI,8300,3775.66,33698000
2019-01-31,CUS000087,VGC,3700,12999.74,49617000
2019-01-31,CUS000087,CTI,600,18738.06,11244000
2019-01-31,CUS000089,HBC,300,13630.42,3864000
2019-01-31,CUS000089,OGC,4100,3865.79,15580000
2019-01-31,CUS000089,NVB,2000,6459.68,13280000
2019-01-31,CUS000091,VTP,1500,29724.52,47490000
2019-01-31,CUS000091,FPT,2600,12258.36,31850000
2019-01-31,CUS000092,POW,300,11937.88,3897000
2019-01-31,CUS000092,VRE,100,27421.07,2739000
2019-01-31,CUS000092,STB,300,12148.19,3690000
2019-01-31,CUS000095,SRC,700,10315.45,7504000
2019-01-31,CUS000100,NT2,2300,17666.9,42320000
2019-01-31,CUS000100,SRC,400,10716.05,4288000
2019-01-31,CUS000100,DAG,700,6690.02,4627000
2019-01-31,CUS000100,ASM,2300,4006.0,9338000
2019-01-31,CUS000100,AAA,600,10355.51,6282000
2019-01-31,CUS000100,HDG,400,8803.18,3472000
2019-01-31,CUS000103,HUT,2600,3785.67,8814000
2019-01-31,CUS000103,DAG,3000,6730.08,19830000
2019-01-31,CUS000111,NDN,6700,5713.72,37922000
2019-01-31,CUS000111,VEF,300,56624.81,18375000
2019-01-31,CUS000111,DPR,4800,11537.28,56208000
2019-01-31,CUS000111,PVS,115700,11536.73,1353690000
2019-01-31,CUS000111,SRC,200,10325.47,2144000
2019-01-31,CUS000111,VTP,1500,29693.81,47490000
2019-01-31,CUS000116,AAA,900,10338.82,9423000
2019-01-31,CUS000116,SRC,300,8973.44,3216000
2019-01-31,CUS000116,GAS,200,53580.25,10446000
2019-01-31,CUS000118,PLX,9000,39999.91,360450000
2019-01-31,CUS000118,HCM,8000,6227.33,49360000
2019-01-31,CUS000119,BVH,800,76284.26,61992000
2019-01-31,CUS000119,HUT,2300,3555.32,7797000
2019-01-31,CUS000119,SJS,7400,7991.97,59496000
2019-01-31,CUS000119,STB,4200,12078.09,51660000
2019-01-31,CUS000119,MSN,500,63354.89,31475000
2019-01-31,CUS000120,CRE,4300,6950.41,30315000
2019-01-31,CUS000125,MSN,100,65768.51,6295000
2019-01-31,CUS000131,SBT,10600,13740.58,144902000
2019-01-31,CUS000133,STB,1000,11937.88,12300000
2019-01-31,CUS000133,KBC,900,9924.86,8919000
2019-01-31,CUS000133,POW,300,12194.93,3897000
2019-01-31,CUS000133,VEA,300,21221.78,6768000
2019-01-31,CUS000142,NLG,3400,15142.68,53312000
2019-01-31,CUS000142,DCM,43300,5568.34,228624000
2019-01-31,CUS000142,CTD,4200,85608.22,344610000
2019-01-31,CUS000152,DCM,4500,5798.69,23760000
2019-01-31,CUS000152,DGC,2000,7981.95,15820000
2019-01-31,CUS000153,HSG,800,3084.62,2448000
2019-01-31,CUS000153,IDI,100,5227.83,535000
2019-01-31,CUS000161,TNA,3500,6710.05,25305000
2019-01-31,CUS000166,VCG,100,11897.82,1235000
2019-01-31,CUS000166,PVD,400,6214.31,2628000
2019-01-31,CUS000170,VGI,2600,12879.29,38116000
2019-01-31,CUS000170,ABC,600,6429.63,3966000
2019-01-31,CUS000172,SHI,11000,3562.96,44660000
