customer_id,customer_type,risk_level,investment_horizon,account_open_date,portfolio_value,cash_balance
CUS000001,INDIVIDUAL,MEDIUM,LONG,2015-08-09,70958000,133387983
CUS000002,INDIVIDUAL,MEDIUM,MEDIUM,2019-03-20,394138000,200065101
CUS000003,INDIVIDUAL,HIGH,SHORT,2020-12-11,220255000,7540132
CUS000004,INDIVIDUAL,HIGH,MEDIUM,2015-11-08,25536000,13388766
CUS000005,INDIVIDUAL,MEDIUM,SHORT,2020-09-11,103136000,48788875
CUS000006,INDIVIDUAL,LOW,SHORT,2017-12-17,345296000,65653342
CUS000007,INDIVIDUAL,MEDIUM,MEDIUM,2021-07-29,61958000,75480339
CUS000008,INDIVIDUAL,MEDIUM,MEDIUM,2020-10-02,100457000,42473563
CUS000009,INSTITUTION,HIGH,SHORT,2016-05-09,10247777000,557774205
CUS000010,INDIVIDUAL,LOW,LONG,2018-05-15,65256000,8462854
CUS000011,INDIVIDUAL,LOW,LONG,2016-04-24,1397852000,1544763391
CUS000012,INDIVIDUAL,HIGH,MEDIUM,2017-07-28,29276000,80776329
CUS000013,INDIVIDUAL,LOW,LONG,2019-05-09,95996000,359208196
CUS000014,INDIVIDUAL,MEDIUM,MEDIUM,2022-02-25,226249000,57685593
CUS000015,INDIVIDUAL,MEDIUM,MEDIUM,2021-02-26,58242000,56233759
CUS000016,INDIVIDUAL,MEDIUM,SHORT,2021-04-16,150318000,407754334
CUS000017,INDIVIDUAL,LOW,LONG,2017-07-02,109706000,111357143
CUS000018,INDIVIDUAL,MEDIUM,MEDIUM,2019-07-19,1018896000,1334311131
CUS000019,INDIVIDUAL,MEDIUM,SHORT,2021-11-10,130411000,76827134
CUS000020,INDIVIDUAL,HIGH,MEDIUM,2019-10-07,190145000,104830840
CUS000021,INDIVIDUAL,MEDIUM,SHORT,2020-03-02,7023000,102419376
CUS000022,INDIVIDUAL,HIGH,SHORT,2014-10-02,109754000,325290024
CUS000023,INDIVIDUAL,HIGH,LONG,2021-01-07,23490000,24843903
CUS000024,INDIVIDUAL,LOW,LONG,2016-07-11,238852000,68415904
CUS000025,INDIVIDUAL,MEDIUM,SHORT,2021-03-04,205684000,8450779
CUS000026,INDIVIDUAL,LOW,LONG,2021-10-14,75420000,54398085
CUS000027,INDIVIDUAL,MEDIUM,LONG,2021-06-21,23320000,29266303
CUS000028,INDIVIDUAL,LOW,SHORT,2017-11-13,22405000,48855200
CUS000029,INDIVIDUAL,LOW,SHORT,2022-02-24,214575000,15389430
CUS000030,INDIVIDUAL,MEDIUM,SHORT,2022-08-09,64215000,82274159
CUS000031,INDIVIDUAL,HIGH,SHORT,2018-04-24,43952000,196476026
CUS000032,INDIVIDUAL,MEDIUM,SHORT,2022-06-08,264495000,227976131
CUS000033,INDIVIDUAL,HIGH,SHORT,2019-09-30,1123426000,402939032
CUS000034,INDIVIDUAL,MEDIUM,MEDIUM,2018-09-01,34773000,15499710
CUS000035,INDIVIDUAL,MEDIUM,SHORT,2021-12-15,49213000,121005018
CUS000036,INDIVIDUAL,HIGH,SHORT,2021-02-02,19170000,12305088
CUS000037,INDIVIDUAL,HIGH,SHORT,2022-08-30,21336000,394514084
CUS000038,INDIVIDUAL,HIGH,SHORT,2018-06-30,69570000,7150960
CUS000039,INDIVIDUAL,MEDIUM,LONG,2020-08-28,323632000,141324144
