date,index_code,open,high,low,close,volume
2019-01-02,HNXINDEX,104.23,104.49,102.38,102.67,19007217
2019-01-03,HNXINDEX,99.05,102.68,98.85,100.52,29543455
2019-01-04,HNXINDEX,100.57,101.23,99.17,100.85,29288584
2019-01-07,HNXINDEX,100.86,102.38,100.83,101.93,22446454
2019-01-08,HNXINDEX,101.93,105.31,101.2,101.27,23068390
2019-01-09,HNXINDEX,101.25,102.29,101.25,102.13,27033241
2019-01-10,HNXINDEX,102.14,102.36,101.57,101.78,21333646
2019-01-11,HNXINDEX,101.78,102.32,101.54,101.87,22980701
2019-01-14,HNXINDEX,101.87,102.34,101.45,101.58,27656015
2019-01-15,HNXINDEX,101.58,102.74,98.71,102.58,23012371
2019-01-16,HNXINDEX,102.58,103.11,101.97,101.99,18887309
2019-01-17,HNXINDEX,101.98,102.58,101.83,101.92,16652123
2019-01-18,HNXINDEX,101.92,102.23,101.26,101.56,26019668
2019-01-21,HNXINDEX,101.56,103.78,101.47,103.37,34689801
2019-01-22,HNXINDEX,103.4,103.72,102.52,102.54,25390476
2019-01-23,HNXINDEX,102.55,102.87,102.08,102.67,19071064
2019-01-24,HNXINDEX,102.67,103.39,102.38,102.78,25477689
2019-01-25,HNXINDEX,102.79,103.65,102.47,102.74,18827589
2019-01-28,HNXINDEX,102.74,103.14,101.2,102.31,26230825
2019-01-29,HNXINDEX,102.31,102.38,101.5,102.37,20259599
2019-01-30,HNXINDEX,102.37,104.86,102.27,102.81,20576383
2019-01-31,HNXINDEX,102.81,103.63,102.7,102.88,19913820
2019-02-01,HNXINDEX,102.88,103.34,102.58,103.34,15258710
2019-02-11,HNXINDEX,103.23,105.25,103.23,105.25,31752658
2019-02-12,HNXINDEX,105.05,106.08,104.97,106.04,33792815
2019-02-13,HNXINDEX,106.04,106.62,105.64,106.49,30870294
2019-02-14,HNXINDEX,106.49,106.54,106.0,106.12,36351323
2019-02-15,HNXINDEX,106.12,106.67,105.9,106.11,32306138
2019-02-18,HNXINDEX,106.11,107.09,106.08,106.84,37549853
2019-02-19,HNXINDEX,106.87,107.13,106.09,106.21,38279927
2019-02-20,HNXINDEX,106.21,106.62,105.76,106.3,29084078
2019-02-21,HNXINDEX,106.3,106.95,106.01,106.11,30386268
2019-02-22,HNXINDEX,106.22,107.09,105.91,106.82,33380880
2019-02-25,HNXINDEX,106.82,108.44,106.72,107.61,33533845
2019-02-26,HNXINDEX,107.61,108.11,106.89,107.66,36924705
2019-02-27,HNXINDEX,107.62,108.17,107.27,107.63,36366812
2019-02-28,HNXINDEX,107.63,107.92,105.8,105.86,57627655
2019-03-01,HNXINDEX,105.86,107.27,105.69,107.26,30692676
2019-03-04,HNXINDEX,108.49,108.7,107.15,108.53,45221471
2019-03-05,HNXINDEX,108.55,109.16,108.04,108.24,49911135
2019-03-06,HNXINDEX,108.31,108.65,107.68,108.48,48591742
2019-03-07,HNXINDEX,108.49,109.62,108.48,108.88,69670075
2019-03-08,HNXINDEX,108.88,108.92,107.87,108.22,43593511
2019-03-11,HNXINDEX,108.2,108.75,107.6,108.32,37417398
2019-03-12,HNXINDEX,108.32,109.55,108.22,109.55,50618322
2019-03-13,HNXINDEX,109.55,110.61,109.55,109.82,51828614
2019-03-14,HNXINDEX,109.85,110.71,109.58,110.02,39624537
2019-03-15,HNXINDEX,110.04,110.55,109.7,110.44,46125787
2019-03-18,HNXINDEX,110.44,111.61,110.44,110.88,44391732
2019-03-19,HNXINDEX,110.9,111.35,109.74,110.06,53968959
2019-03-20,HNXINDEX,109.96,110.08,108.52,109.62,37999036
2019-03-21,HNXINDEX,109.62,110.33,107.81,107.81,38578834
2019-03-22,HNXINDEX,107.81,108.36,107.47,108.09,30405143
2019-03-25,HNXINDEX,108.09,108.09,105.89,106.41,42134803
2019-03-26,HNXINDEX,106.41,107.31,106.29,106.85,24112437
2019-03-27,HNXINDEX,107.23,107.82,106.86,107.56,25373381
2019-03-28,HNXINDEX,107.66,107.66,106.98,107.34,24506763
2019-03-29,HNXINDEX,107.34,107.94,107.27,107.44,31090939
2019-04-01,HNXINDEX,107.44,108.03,107.35,107.72,26890067
2019-04-02,HNXINDEX,107.72,108.57,107.18,107.48,28493064
2019-04-03,HNXINDEX,107.48,107.77,106.87,107.3,29775845
2019-04-04,HNXINDEX,107.32,107.74,106.97,107.42,29174600
2019-04-05,HNXINDEX,107.42,107.93,107.29,107.87,27594591
2019-04-08,HNXINDEX,107.87,108.93,107.79,108.93,35442371
2019-04-09,HNXINDEX,108.93,109.24,107.66,107.71,42403734
2019-04-10,HNXINDEX,107.71,107.98,106.99,107.43,30707125
2019-04-11,HNXINDEX,107.44,107.94,107.23,107.57,21183053
2019-04-12,HNXINDEX,107.57,107.71,107.11,107.7,29679279
2019-04-16,HNXINDEX,107.7,107.7,106.5,107.11,27588200
2019-04-17,HNXINDEX,107.11,107.64,106.38,106.43,30188946
2019-04-18,HNXINDEX,106.43,106.8,105.35,105.75,31341981
2019-04-19,HNXINDEX,105.76,106.44,105.69,105.88,23676581
2019-04-22,HNXINDEX,105.88,106.17,105.04,105.63,31216040
2019-04-23,HNXINDEX,105.64,106.6,105.33,106.29,28033446
2019-04-24,HNXINDEX,106.29,107.27,106.29,107.14,30348154
2019-04-25,HNXINDEX,107.15,107.68,106.79,106.93,34067616
2019-04-26,HNXINDEX,106.93,107.56,106.21,107.46,28038317
2019-05-02,HNXINDEX,107.46,108.03,106.72,107.0,30009054
2019-05-03,HNXINDEX,106.99,107.39,106.6,106.87,26024518
2019-05-06,HNXINDEX,106.88,106.88,105.02,105.42,40573270
2019-05-07,HNXINDEX,105.42,106.34,105.22,105.83,28053173
2019-05-08,HNXINDEX,105.83,105.99,105.06,105.91,25788386
2019-05-09,HNXINDEX,105.91,105.99,105.0,105.26,23163800
2019-05-10,HNXINDEX,105.26,105.96,105.14,105.86,23562074
2019-05-13,HNXINDEX,105.85,106.11,105.52,105.61,26356758
2019-05-14,HNXINDEX,105.61,105.72,105.03,105.7,33925004
2019-05-15,HNXINDEX,105.7,106.73,105.61,106.43,30844556
2019-05-16,HNXINDEX,106.44,106.83,105.95,106.09,27160766
2019-05-17,HNXINDEX,106.09,106.44,105.72,105.79,32987820
2019-05-20,HNXINDEX,105.79,106.81,105.68,106.31,28869202
2019-05-21,HNXINDEX,106.31,106.83,106.14,106.28,27259450
2019-05-22,HNXINDEX,106.29,107.06,105.98,106.13,39110306
2019-05-23,HNXINDEX,106.13,106.55,105.52,106.3,29547587
2019-05-24,HNXINDEX,106.3,106.4,103.28,105.39,32296656
2019-05-27,HNXINDEX,105.26,105.62,104.97,105.04,20069500
2019-05-28,HNXINDEX,105.04,105.32,104.75,105.03,22631135
2019-05-29,HNXINDEX,105.03,105.34,104.4,105.32,23092110
2019-05-30,HNXINDEX,105.32,105.6,104.88,105.32,20801261
2019-05-31,HNXINDEX,105.32,105.33,103.95,104.35,26814813
2019-06-03,HNXINDEX,104.34,104.44,103.13,103.28,31285903
2019-06-04,HNXINDEX,103.27,103.87,103.01,103.06,16578059
2019-06-05,HNXINDEX,103.06,103.79,102.97,103.54,17767222
2019-06-06,HNXINDEX,103.56,103.56,102.61,103.03,18236345
2019-06-07,HNXINDEX,103.05,104.22,103.05,104.21,22750614
2019-06-10,HNXINDEX,104.21,104.73,103.9,103.99,16297684
2019-06-11,HNXINDEX,103.93,104.16,103.63,103.95,21179819
2019-06-12,HNXINDEX,103.95,104.08,103.46,103.56,16562038
2019-06-13,HNXINDEX,103.56,103.65,103.28,103.5,18818708
2019-06-14,HNXINDEX,103.5,104.21,103.39,103.46,16044518
2019-06-17,HNXINDEX,103.46,104.01,103.21,103.5,17287126
2019-06-18,HNXINDEX,103.5,103.77,103.24,103.75,17411091
2019-06-19,HNXINDEX,103.76,104.17,103.38,103.77,16865669
2019-06-20,HNXINDEX,103.77,105.07,103.49,105.06,22990563
2019-06-21,HNXINDEX,105.05,105.83,104.53,104.85,21674227
2019-06-24,HNXINDEX,104.85,105.11,104.56,104.78,21336183
2019-06-25,HNXINDEX,104.78,104.88,103.65,104.15,20780887
2019-06-26,HNXINDEX,104.15,104.32,103.74,103.95,24016377
2019-06-27,HNXINDEX,103.95,104.07,102.72,102.96,27327643
2019-06-28,HNXINDEX,102.96,103.52,102.35,103.51,20696718
2019-07-01,HNXINDEX,104.15,104.39,103.67,104.09,21842723
2019-07-02,HNXINDEX,104.2,104.2,103.35,103.46,22735576
2019-07-03,HNXINDEX,103.46,103.98,103.44,103.67,16499668
2019-07-04,HNXINDEX,103.67,104.54,103.67,104.34,20438091
2019-07-05,HNXINDEX,104.34,104.87,104.21,104.38,16275208
2019-07-08,HNXINDEX,104.38,104.7,103.5,103.81,14784374
2019-07-09,HNXINDEX,103.83,105.1,103.55,105.1,19227100
2019-07-10,HNXINDEX,105.1,105.6,105.05,105.14,22307996
2019-07-11,HNXINDEX,105.14,106.22,105.14,106.01,23839187
2019-07-12,HNXINDEX,106.01,106.62,105.78,105.86,25949487
2019-07-15,HNXINDEX,105.88,106.23,105.33,105.61,18944941
2019-07-16,HNXINDEX,105.72,106.25,105.5,105.85,22533297
2019-07-17,HNXINDEX,105.81,106.94,105.76,106.58,28837839
2019-07-18,HNXINDEX,106.58,106.74,105.88,106.74,24944797
2019-07-19,HNXINDEX,106.74,108.3,106.59,107.07,27462186
2019-07-22,HNXINDEX,111.1,111.1,106.12,106.76,23248804
2019-07-23,HNXINDEX,106.76,106.98,106.44,106.71,24718753
2019-07-24,HNXINDEX,106.71,107.5,105.92,106.44,29383975
2019-07-25,HNXINDEX,106.44,107.39,106.39,106.76,22753069
2019-07-26,HNXINDEX,106.76,107.06,105.94,106.4,25966594
2019-07-29,HNXINDEX,106.4,106.42,104.96,105.29,22671476
2019-07-30,HNXINDEX,105.29,105.86,104.35,104.43,23705542
2019-07-31,HNXINDEX,104.44,104.91,103.67,104.43,29642140
2019-08-01,HNXINDEX,104.43,104.83,103.64,103.88,19422728
2019-08-02,HNXINDEX,103.89,103.99,102.72,103.7,23599441
2019-08-05,HNXINDEX,103.7,103.73,102.3,102.91,26065414
2019-08-06,HNXINDEX,100.38,102.74,100.37,101.89,34022329
2019-08-07,HNXINDEX,101.89,102.77,101.39,101.89,23174993
2019-08-08,HNXINDEX,101.91,103.0,99.21,102.9,21241362
2019-08-09,HNXINDEX,102.9,103.76,101.89,102.79,23140996
2019-08-12,HNXINDEX,102.79,103.2,102.46,102.82,21556891
2019-08-13,HNXINDEX,102.82,102.82,101.54,102.29,21469256
2019-08-14,HNXINDEX,102.31,103.17,101.75,101.98,22663441
2019-08-15,HNXINDEX,102.01,102.01,100.63,101.66,22616691
2019-08-16,HNXINDEX,101.66,102.87,101.59,102.35,22580254
