stock_code,company_name,company_short_name,exchange,instrument_type,icb_level,icb_code,icb_name
A32,CTCP 32,,UPCOM,STOCK,4,3765,Giầy dép
AAA,CTCP Nhựa An Phát Xanh,,HOSE,STOCK,4,1353,"Nhựa, cao su & sợi"
AAH,CTCP Hợp Nhất,,UPCOM,STOCK,4,1771,Khai thác Than
AAM,CTCP Thủy sản MeKong,,HOSE,STOCK,4,3573,Nuôi trồng nông & hải sản
AAN,CTCP Lương thực A An,,HOSE,STOCK,4,3573,Nuôi trồng nông & hải sản
AAS,CTCP Chứng khoán SmartInvest ,,UPCOM,STOCK,4,8777,Môi giới chứng khoán
AAT,CTCP Tập Đoàn Tiên Sơn Thanh Hóa ,,HOSE,STOCK,4,3763,Hàng May mặc
AAV,CTCP AAV Group,,UPCOM,STOCK,4,8633,Bất động sản
ABB,Ngân hàng TMCP An Bình,,UPCOM,STOCK,4,8355,Ngân hàng
ABC,CTCP Truyền thông VMG,,UPCOM,STOCK,4,6575,Viễn thông di động
ABI,CTCP Bảo hiểm Ngân hàng Nông nghiệp Việt Nam,,UPCOM,STOCK,4,8536,Bảo hiểm phi nhân thọ
ABR,CTCP Đầu tư Nhãn hiệu Việt,,HOSE,STOCK,4,2791,Tư vấn & Hỗ trợ KD
ABS,CTCP Dịch vụ Nông nghiệp Bình Thuận,,HOSE,STOCK,4,1357,"Sản phẩm hóa dầu, Nông dược & Hóa chất khác"
ABT,CTCP Xuất nhập khẩu Thủy sản Bến Tre,,HOSE,STOCK,4,3573,Nuôi trồng nông & hải sản
ABW,CTCP Chứng khoán An Bình,,UPCOM,STOCK,4,8777,Môi giới chứng khoán
ACB,Ngân hàng TMCP Á Châu,,HOSE,STOCK,4,8355,Ngân hàng
ACC,CTCP Đầu tư và Xây dựng Bình Dương ACC,,HOSE,STOCK,4,2353,Vật liệu xây dựng & Nội thất
ACE,CTCP Bê tông Ly tâm An Giang,,UPCOM,STOCK,4,2353,Vật liệu xây dựng & Nội thất
